timestamp,open,high,low,close,volume,barCount,wap
20230102 10:00:00 Japan,295.5,296.95,295.5,296.95,8,4,295.76
20230102 10:01:00 Japan,296.95,296.95,296.95,296.95,1,1,296.95
20230102 10:02:00 Japan,296.95,296.95,296.95,296.95,0,0,296.95
20230102 10:03:00 Japan,296.0,296.05,296.0,296.05,6,4,296.01
20230102 10:04:00 Japan,296.05,296.25,296.05,296.25,2,2,296.15
20230102 10:05:00 Japan,296.1,296.1,296.1,296.1,5,1,296.1
20230102 10:06:00 Japan,295.95,295.95,295.95,295.95,5,1,295.95
20230102 10:07:00 Japan,295.85,295.85,295.85,295.85,1,1,295.85
20230102 10:08:00 Japan,295.75,295.75,295.75,295.75,5,5,295.75
20230102 10:09:00 Japan,295.5,295.5,295.5,295.5,2,1,295.5
20230102 10:10:00 Japan,295.75,295.8,295.75,295.8,3,3,295.765
20230102 10:11:00 Japan,296.0,296.0,296.0,296.0,1,1,296
20230102 10:12:00 Japan,296.0,296.0,296.0,296.0,0,0,296
20230102 10:13:00 Japan,296.15,296.15,296.15,296.15,1,1,296.15
20230102 10:14:00 Japan,296.4,296.4,296.3,296.3,2,2,296.35
20230102 10:15:00 Japan,296.15,296.15,296.15,296.15,1,1,296.15
20230102 10:16:00 Japan,296.45,296.5,296.45,296.5,2,2,296.475
20230102 10:17:00 Japan,296.5,296.5,296.5,296.5,1,1,296.5
20230102 10:18:00 Japan,296.6,296.6,296.6,296.6,1,1,296.6
20230102 10:19:00 Japan,296.75,296.75,296.75,296.75,1,1,296.75
20230102 10:20:00 Japan,296.75,296.75,296.75,296.75,0,0,296.75
20230102 10:21:00 Japan,296.75,296.75,296.75,296.75,1,1,296.75
20230102 10:22:00 Japan,296.75,296.75,296.75,296.75,1,1,296.75
20230102 10:23:00 Japan,296.85,296.85,296.85,296.85,2,1,296.85
20230102 10:24:00 Japan,296.95,297.0,296.95,297.0,2,2,296.975
20230102 10:25:00 Japan,297.0,297.0,297.0,297.0,1,1,297
20230102 10:26:00 Japan,297.0,297.0,297.0,297.0,0,0,297
20230102 10:27:00 Japan,296.95,296.95,296.95,296.95,2,2,296.95
20230102 10:28:00 Japan,296.95,296.95,296.95,296.95,0,0,296.95
20230102 10:29:00 Japan,296.7,296.7,296.7,296.7,1,1,296.7
20230102 10:30:00 Japan,296.75,296.75,296.75,296.75,1,1,296.75
20230102 10:31:00 Japan,296.65,296.65,296.65,296.65,1,1,296.65
20230102 10:32:00 Japan,296.05,296.05,296.05,296.05,1,1,296.05
20230102 10:33:00 Japan,296.5,296.5,296.5,296.5,1,1,296.5
20230102 10:34:00 Japan,296.5,296.5,296.5,296.5,0,0,296.5
20230102 10:35:00 Japan,296.5,296.5,296.5,296.5,1,1,296.5
20230102 10:36:00 Japan,296.1,296.1,296.1,296.1,2,1,296.1
20230102 10:37:00 Japan,296.1,296.1,296.1,296.1,0,0,296.1
20230102 10:38:00 Japan,296.1,296.1,296.1,296.1,0,0,296.1
20230102 10:39:00 Japan,296.1,296.1,296.1,296.1,0,0,296.1
20230102 10:40:00 Japan,296.1,296.1,296.1,296.1,0,0,296.1
20230102 10:41:00 Japan,296.4,296.4,296.4,296.4,1,1,296.4
20230102 10:42:00 Japan,296.05,296.05,296.05,296.05,1,1,296.05
20230102 10:43:00 Japan,296.0,296.0,296.0,296.0,1,1,296
20230102 10:44:00 Japan,296.0,296.0,296.0,296.0,0,0,296
20230102 10:45:00 Japan,296.05,296.05,296.05,296.05,1,1,296.05
20230102 10:46:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:47:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:48:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:49:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:50:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:51:00 Japan,296.05,296.05,296.05,296.05,0,0,296.05
20230102 10:52:00 Japan,296.0,296.0,296.0,296.0,1,1,296
20230102 10:53:00 Japan,296.0,296.0,296.0,296.0,0,0,296
20230102 10:54:00 Japan,296.0,296.0,296.0,296.0,0,0,296
20230102 10:55:00 Japan,295.8,295.8,295.7,295.7,2,2,295.75
20230102 10:56:00 Japan,295.45,295.45,295.45,295.45,1,1,295.45
20230102 10:57:00 Japan,295.6,295.6,295.6,295.6,1,1,295.6
20230102 10:58:00 Japan,295.7,295.7,295.7,295.7,1,1,295.7
20230102 10:59:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:00:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:01:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:02:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:03:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:04:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:05:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:06:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:07:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:08:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:09:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:10:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:11:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:12:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:13:00 Japan,295.7,295.7,295.7,295.7,0,0,295.7
20230102 11:14:00 Japan,295.3,295.3,295.3,295.3,1,1,295.3
20230102 11:15:00 Japan,295.3,295.3,295.3,295.3,0,0,295.3
20230102 11:16:00 Japan,295.2,295.2,295.2,295.2,1,1,295.2
20230102 11:17:00 Japan,295.2,295.2,295.2,295.2,0,0,295.2
20230102 11:18:00 Japan,295.2,295.2,295.2,295.2,0,0,295.2
20230102 11:19:00 Japan,295.2,295.2,295.2,295.2,0,0,295.2
20230102 11:20:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 11:21:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:22:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:23:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:24:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:25:00 Japan,295.05,295.05,295.05,295.05,1,1,295.05
20230102 11:26:00 Japan,295.05,295.05,295.05,295.05,0,0,295.05
20230102 11:27:00 Japan,295.25,295.25,295.25,295.25,1,1,295.25
20230102 11:28:00 Japan,295.25,295.25,295.25,295.25,0,0,295.25
20230102 11:29:00 Japan,295.25,295.25,295.25,295.25,0,0,295.25
20230102 11:30:00 Japan,295.25,295.25,295.25,295.25,0,0,295.25
20230102 11:31:00 Japan,295.25,295.25,295.25,295.25,0,0,295.25
20230102 11:32:00 Japan,295.0,295.0,295.0,295.0,1,1,295
20230102 11:33:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 11:34:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:35:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:36:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:37:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:38:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:39:00 Japan,294.8,294.8,294.7,294.7,2,2,294.75
20230102 11:40:00 Japan,294.7,294.7,294.7,294.7,0,0,294.7
20230102 11:41:00 Japan,294.7,294.7,294.7,294.7,0,0,294.7
20230102 11:42:00 Japan,294.7,294.7,294.7,294.7,0,0,294.7
20230102 11:43:00 Japan,294.7,294.7,294.7,294.7,0,0,294.7
20230102 11:44:00 Japan,294.7,294.7,294.7,294.7,0,0,294.7
20230102 11:45:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 11:46:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:47:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 11:48:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 11:49:00 Japan,294.95,294.95,294.95,294.95,4,1,294.95
20230102 11:50:00 Japan,294.95,294.95,294.95,294.95,0,0,294.95
20230102 11:51:00 Japan,294.95,294.95,294.95,294.95,0,0,294.95
20230102 11:52:00 Japan,294.95,294.95,294.95,294.95,3,3,294.95
20230102 11:53:00 Japan,294.95,294.95,294.95,294.95,0,0,294.95
20230102 11:54:00 Japan,295.0,295.0,295.0,295.0,2,1,295
20230102 11:55:00 Japan,295.05,295.05,295.05,295.05,1,1,295.05
20230102 11:56:00 Japan,295.05,295.05,295.05,295.05,0,0,295.05
20230102 11:57:00 Japan,295.05,295.05,295.05,295.05,0,0,295.05
20230102 11:58:00 Japan,295.05,295.05,295.05,295.05,0,0,295.05
20230102 11:59:00 Japan,295.05,295.05,295.05,295.05,0,0,295.05
20230102 12:00:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 12:01:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 12:02:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 12:03:00 Japan,294.9,294.9,294.9,294.9,1,1,294.9
20230102 12:04:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 12:05:00 Japan,294.9,294.9,294.9,294.9,0,0,294.9
20230102 12:06:00 Japan,294.9,294.9,294.75,294.75,4,3,294.8
20230102 12:07:00 Japan,294.75,294.75,294.75,294.75,0,0,294.75
20230102 12:08:00 Japan,294.15,294.15,294.05,294.05,2,2,294.1
20230102 12:09:00 Japan,294.1,294.1,293.95,293.95,2,2,294.025
20230102 12:10:00 Japan,293.95,293.95,293.95,293.95,2,2,293.95
20230102 12:11:00 Japan,293.85,293.85,293.85,293.85,1,1,293.85
20230102 12:12:00 Japan,294.0,294.0,294.0,294.0,1,1,294
20230102 12:13:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:14:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:15:00 Japan,294.2,294.2,294.2,294.2,1,1,294.2
20230102 12:16:00 Japan,294.15,294.2,294.15,294.2,2,2,294.175
20230102 12:17:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 12:18:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 12:19:00 Japan,294.2,294.2,294.2,294.2,1,1,294.2
20230102 12:20:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 12:21:00 Japan,294.2,294.2,294.2,294.2,1,1,294.2
20230102 12:22:00 Japan,294.15,294.15,294.15,294.15,1,1,294.15
20230102 12:23:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:24:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:25:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:26:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:27:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:28:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:29:00 Japan,294.15,294.15,294.15,294.15,0,0,294.15
20230102 12:30:00 Japan,294.05,294.05,294.0,294.0,2,2,294.025
20230102 12:31:00 Japan,294.05,294.05,294.05,294.05,1,1,294.05
20230102 12:32:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:33:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:34:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:35:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:36:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:37:00 Japan,294.05,294.05,294.05,294.05,0,0,294.05
20230102 12:38:00 Japan,294.05,294.05,294.0,294.0,3,2,294.035
20230102 12:39:00 Japan,293.95,294.0,293.95,294.0,2,2,293.975
20230102 12:40:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:41:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:42:00 Japan,294.0,294.0,293.9,294.0,3,3,293.965
20230102 12:43:00 Japan,294.0,294.0,294.0,294.0,1,1,294
20230102 12:44:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:45:00 Japan,293.85,293.85,293.85,293.85,1,1,293.85
20230102 12:46:00 Japan,293.85,293.85,293.85,293.85,0,0,293.85
20230102 12:47:00 Japan,294.0,294.0,294.0,294.0,1,1,294
20230102 12:48:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:49:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 12:50:00 Japan,293.7,293.7,293.7,293.7,2,2,293.7
20230102 12:51:00 Japan,293.7,293.7,293.7,293.7,2,2,293.7
20230102 12:52:00 Japan,293.7,293.7,293.7,293.7,0,0,293.7
20230102 12:53:00 Japan,293.7,293.7,293.7,293.7,0,0,293.7
20230102 12:54:00 Japan,293.7,293.7,293.7,293.7,0,0,293.7
20230102 12:55:00 Japan,293.5,293.5,293.5,293.5,2,2,293.5
20230102 12:56:00 Japan,293.5,293.5,293.5,293.5,1,1,293.5
20230102 12:57:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 12:58:00 Japan,293.5,293.5,293.5,293.5,1,1,293.5
20230102 12:59:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 13:00:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 13:01:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 13:02:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 13:03:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 13:04:00 Japan,293.8,293.8,293.8,293.8,1,1,293.8
20230102 13:05:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 13:06:00 Japan,293.95,294.0,293.95,294.0,2,2,293.975
20230102 13:07:00 Japan,294.0,294.0,294.0,294.0,1,1,294
20230102 13:08:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:09:00 Japan,293.9,293.9,293.9,293.9,1,1,293.9
20230102 13:10:00 Japan,293.9,293.9,293.9,293.9,0,0,293.9
20230102 13:11:00 Japan,294.2,294.2,294.2,294.2,1,1,294.2
20230102 13:12:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 13:13:00 Japan,294.3,294.3,294.3,294.3,1,1,294.3
20230102 13:14:00 Japan,294.3,294.3,294.3,294.3,0,0,294.3
20230102 13:15:00 Japan,294.1,294.1,294.1,294.1,1,1,294.1
20230102 13:16:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:17:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:18:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:19:00 Japan,294.0,294.0,294.0,294.0,1,1,294
20230102 13:20:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:21:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:22:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:23:00 Japan,293.95,294.1,293.95,294.1,3,3,294.015
20230102 13:24:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:25:00 Japan,294.25,294.25,294.25,294.25,1,1,294.25
20230102 13:26:00 Japan,294.35,294.35,294.25,294.25,2,2,294.3
20230102 13:27:00 Japan,294.25,294.25,294.25,294.25,0,0,294.25
20230102 13:28:00 Japan,294.1,294.1,294.1,294.1,1,1,294.1
20230102 13:29:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:30:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:31:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:32:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:33:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:34:00 Japan,294.1,294.1,294.1,294.1,0,0,294.1
20230102 13:35:00 Japan,294.3,294.3,294.3,294.3,1,1,294.3
20230102 13:36:00 Japan,294.3,294.3,294.3,294.3,0,0,294.3
20230102 13:37:00 Japan,294.3,294.3,294.3,294.3,0,0,294.3
20230102 13:38:00 Japan,294.3,294.3,294.3,294.3,0,0,294.3
20230102 13:39:00 Japan,294.3,294.3,294.3,294.3,0,0,294.3
20230102 13:40:00 Japan,294.75,294.75,294.2,294.2,3,3,294.5
20230102 13:41:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 13:42:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 13:43:00 Japan,294.2,294.2,294.2,294.2,0,0,294.2
20230102 13:44:00 Japan,294.2,294.2,294.2,294.2,4,1,294.2
20230102 13:45:00 Japan,294.0,294.0,294.0,294.0,2,1,294
20230102 13:46:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:47:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:48:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:49:00 Japan,294.0,294.0,294.0,294.0,0,0,294
20230102 13:50:00 Japan,293.9,293.9,293.9,293.9,2,1,293.9
20230102 13:51:00 Japan,293.9,293.9,293.9,293.9,0,0,293.9
20230102 13:52:00 Japan,293.9,293.9,293.9,293.9,0,0,293.9
20230102 13:53:00 Japan,293.9,293.9,293.9,293.9,0,0,293.9
20230102 13:54:00 Japan,293.9,293.9,293.9,293.9,0,0,293.9
20230102 13:55:00 Japan,293.8,293.8,293.8,293.8,1,1,293.8
20230102 13:56:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 13:57:00 Japan,293.8,293.8,293.8,293.8,1,1,293.8
20230102 13:58:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 13:59:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:00:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:01:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:02:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:03:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:04:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:05:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:06:00 Japan,293.8,293.8,293.8,293.8,0,0,293.8
20230102 14:07:00 Japan,293.45,293.45,293.4,293.4,4,2,293.415
20230102 14:08:00 Japan,293.4,293.4,293.4,293.4,0,0,293.4
20230102 14:09:00 Japan,293.4,293.4,293.4,293.4,0,0,293.4
20230102 14:10:00 Japan,293.25,293.25,293.25,293.25,1,1,293.25
20230102 14:11:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 14:12:00 Japan,293.25,293.25,293.25,293.25,2,2,293.25
20230102 14:13:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 14:14:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 14:15:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 14:16:00 Japan,293.35,293.35,293.35,293.35,1,1,293.35
20230102 14:17:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:18:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:19:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:20:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:21:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:22:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:23:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:24:00 Japan,293.35,293.35,293.35,293.35,0,0,293.35
20230102 14:25:00 Japan,293.5,293.5,293.5,293.5,1,1,293.5
20230102 14:26:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 14:27:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 14:28:00 Japan,293.5,293.5,293.5,293.5,0,0,293.5
20230102 14:29:00 Japan,293.15,293.15,293.15,293.15,1,1,293.15
20230102 14:30:00 Japan,293.15,293.15,293.15,293.15,0,0,293.15
20230102 14:31:00 Japan,293.15,293.15,293.15,293.15,0,0,293.15
20230102 14:32:00 Japan,293.15,293.15,293.15,293.15,0,0,293.15
20230102 14:33:00 Japan,293.1,293.1,293.1,293.1,1,1,293.1
20230102 14:34:00 Japan,293.0,293.0,293.0,293.0,3,2,293
20230102 14:35:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:36:00 Japan,292.9,292.9,292.9,292.9,2,1,292.9
20230102 14:37:00 Japan,293.05,293.05,293.05,293.05,1,1,293.05
20230102 14:38:00 Japan,293.05,293.05,293.05,293.05,1,1,293.05
20230102 14:39:00 Japan,293.25,293.25,293.2,293.2,2,2,293.225
20230102 14:40:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 14:41:00 Japan,293.25,293.25,293.25,293.25,3,3,293.25
20230102 14:42:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 14:43:00 Japan,293.1,293.1,293.1,293.1,1,1,293.1
20230102 14:44:00 Japan,293.1,293.1,293.1,293.1,0,0,293.1
20230102 14:45:00 Japan,293.0,293.0,293.0,293.0,4,1,293
20230102 14:46:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:47:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:48:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:49:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:50:00 Japan,293.0,293.0,293.0,293.0,5,1,293
20230102 14:51:00 Japan,293.0,293.0,293.0,293.0,0,0,293
20230102 14:52:00 Japan,293.1,293.1,293.1,293.1,2,1,293.1
20230102 14:53:00 Japan,293.1,293.1,293.1,293.1,1,1,293.1
20230102 14:54:00 Japan,293.15,293.15,293.15,293.15,1,1,293.15
20230102 14:55:00 Japan,293.2,293.2,293.2,293.2,2,2,293.2
20230102 14:56:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 14:57:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 14:58:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 14:59:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:00:00 Japan,293.45,293.45,293.45,293.45,1,1,293.45
20230102 15:01:00 Japan,293.3,293.3,293.3,293.3,2,2,293.3
20230102 15:02:00 Japan,293.3,293.3,293.3,293.3,0,0,293.3
20230102 15:03:00 Japan,293.3,293.3,293.3,293.3,0,0,293.3
20230102 15:04:00 Japan,293.3,293.3,293.3,293.3,0,0,293.3
20230102 15:05:00 Japan,293.3,293.3,293.3,293.3,0,0,293.3
20230102 15:06:00 Japan,293.3,293.3,293.3,293.3,0,0,293.3
20230102 15:07:00 Japan,293.25,293.25,293.25,293.25,1,1,293.25
20230102 15:08:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:09:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:10:00 Japan,293.2,293.2,293.2,293.2,1,1,293.2
20230102 15:11:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:12:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:13:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:14:00 Japan,293.25,293.25,293.25,293.25,1,1,293.25
20230102 15:15:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:16:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:17:00 Japan,293.15,293.2,293.15,293.2,2,2,293.175
20230102 15:18:00 Japan,293.25,293.25,293.2,293.25,5,3,293.24
20230102 15:19:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:20:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:21:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:22:00 Japan,293.15,293.15,293.1,293.1,2,2,293.125
20230102 15:23:00 Japan,293.05,293.05,293.05,293.05,2,1,293.05
20230102 15:24:00 Japan,293.05,293.05,293.05,293.05,2,1,293.05
20230102 15:25:00 Japan,293.05,293.05,293.05,293.05,0,0,293.05
20230102 15:26:00 Japan,293.15,293.25,293.15,293.25,3,3,293.215
20230102 15:27:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:28:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:29:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:30:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:31:00 Japan,293.25,293.25,293.25,293.25,0,0,293.25
20230102 15:32:00 Japan,293.3,293.3,293.2,293.2,3,3,293.235
20230102 15:33:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:34:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:35:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:36:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:37:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:38:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:39:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:40:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:41:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:42:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:43:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230102 15:44:00 Japan,293.2,293.2,293.2,293.2,0,0,293.2
20230103 09:02:00 Japan,293.1,293.1,292.8,292.8,2,2,292.95
20230103 09:03:00 Japan,292.8,292.8,292.8,292.8,0,0,292.8
20230103 09:04:00 Japan,292.8,292.8,292.8,292.8,0,0,292.8
20230103 09:05:00 Japan,292.8,292.8,292.8,292.8,0,0,292.8
20230103 09:06:00 Japan,290.9,291.1,290.9,291.1,3,3,291.015
20230103 09:07:00 Japan,291.2,291.2,291.2,291.2,1,1,291.2
20230103 09:08:00 Japan,291.2,291.2,290.8,290.8,5,5,291.04
20230103 09:09:00 Japan,291.1,291.2,291.0,291.0,3,3,291.1
20230103 09:10:00 Japan,290.35,290.35,290.35,290.35,1,1,290.35
20230103 09:11:00 Japan,290.5,290.5,290.3,290.3,7,5,290.365
20230103 09:12:00 Japan,290.4,290.4,290.4,290.4,3,3,290.4
20230103 09:13:00 Japan,290.3,290.3,290.3,290.3,2,2,290.3
20230103 09:14:00 Japan,290.25,290.3,290.15,290.3,3,3,290.235
20230103 09:15:00 Japan,290.15,290.15,289.95,289.95,6,5,290.05
20230103 09:16:00 Japan,289.95,290.0,289.95,289.95,3,3,289.965
20230103 09:17:00 Japan,290.15,290.25,290.15,290.25,3,3,290.2
20230103 09:18:00 Japan,290.25,290.25,290.25,290.25,0,0,290.25
20230103 09:19:00 Japan,290.4,290.6,290.4,290.6,4,4,290.49
20230103 09:20:00 Japan,290.6,290.6,290.6,290.6,0,0,290.6
20230103 09:21:00 Japan,290.15,290.15,290.15,290.15,2,1,290.15
20230103 09:22:00 Japan,290.0,290.0,290.0,290.0,1,1,290
20230103 09:23:00 Japan,290.0,290.0,290.0,290.0,0,0,290
20230103 09:24:00 Japan,290.0,290.0,290.0,290.0,0,0,290
20230103 09:25:00 Japan,290.0,290.0,290.0,290.0,0,0,290
20230103 09:26:00 Japan,290.0,290.0,290.0,290.0,1,1,290
