timestamp,open,high,low,close,volume,barCount,wap
20230118 14:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:57:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:58:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 14:59:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:00:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:01:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:02:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:57:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:58:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 15:59:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:00:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:01:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:02:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230118 16:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:57:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:58:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 09:59:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:00:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:01:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:02:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:57:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:58:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 10:59:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:00:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:01:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:02:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:57:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 11:58:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:00:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:01:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:02:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:03:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:04:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:05:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:06:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:07:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:08:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:09:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:10:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:11:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:12:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:13:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:14:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:15:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:16:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:17:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:18:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:19:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:20:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:21:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:22:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:23:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:24:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:25:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:26:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:27:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:28:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:29:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:30:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:31:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:32:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:33:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:34:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:35:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:36:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:37:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:38:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:39:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:40:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:41:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:42:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:43:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:44:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:45:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:46:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:47:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:48:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:49:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:50:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:51:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:52:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:53:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:54:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:55:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
20230119 13:56:00 Hongkong,0.0,0.0,0.0,0.0,0,0,0
